timestamp,open,high,low,close,volume
2021-06-28T05:45:00Z,1.1927,1.19288,1.19247,1.1926,224
2021-06-28T06:00:00Z,1.19261,1.19283,1.19234,1.19269,536
2021-06-28T06:15:00Z,1.19268,1.19327,1.19252,1.19321,541
2021-06-28T06:30:00Z,1.19321,1.19336,1.19298,1.19311,450
2021-06-28T06:45:00Z,1.19311,1.19333,1.1929400000000001,1.19309,534
2021-06-28T07:00:00Z,1.1931,1.19446,1.1927699999999999,1.1942599999999999,1299
2021-06-28T07:15:00Z,1.1942599999999999,1.19441,1.1938,1.19383,832
2021-06-28T07:30:00Z,1.19383,1.19444,1.19373,1.1941,697
2021-06-28T07:45:00Z,1.1941,1.1942300000000001,1.1938,1.19421,555
2021-06-28T08:00:00Z,1.1942,1.1942300000000001,1.19318,1.19327,803
2021-06-28T08:15:00Z,1.19327,1.1934,1.19257,1.19295,1007
2021-06-28T08:30:00Z,1.1929400000000001,1.19355,1.1929400000000001,1.19337,622
2021-06-28T08:45:00Z,1.1933799999999999,1.1943,1.1933799999999999,1.19415,651
2021-06-28T09:00:00Z,1.19416,1.1944,1.19354,1.19371,613
2021-06-28T09:15:00Z,1.19371,1.19385,1.19336,1.19364,402
2021-06-28T09:30:00Z,1.1936499999999999,1.19422,1.1936499999999999,1.19387,648
2021-06-28T09:45:00Z,1.19387,1.19406,1.19372,1.19372,467
2021-06-28T10:00:00Z,1.19373,1.19419,1.19372,1.19385,514
2021-06-28T10:15:00Z,1.19385,1.19405,1.19373,1.19405,361
2021-06-28T10:30:00Z,1.19404,1.19406,1.19343,1.19357,384
2021-06-28T10:45:00Z,1.19357,1.19398,1.19346,1.19388,367
2021-06-28T11:00:00Z,1.1938900000000001,1.1939,1.19313,1.19314,474
2021-06-28T11:15:00Z,1.19313,1.19336,1.19259,1.19275,528
2021-06-28T11:30:00Z,1.19276,1.1928,1.19076,1.19099,1567
2021-06-28T11:45:00Z,1.19099,1.19108,1.19052,1.19075,930
2021-06-28T12:00:00Z,1.19075,1.19101,1.19026,1.191,707
2021-06-28T12:15:00Z,1.191,1.1915,1.19079,1.19147,624
2021-06-28T12:30:00Z,1.19147,1.1918199999999999,1.19119,1.1913,720
2021-06-28T12:45:00Z,1.19129,1.19241,1.19127,1.19217,870
2021-06-28T13:00:00Z,1.1921599999999999,1.19247,1.19166,1.1924299999999999,901
2021-06-28T13:15:00Z,1.19245,1.1927,1.19202,1.19202,742
2021-06-28T13:30:00Z,1.19202,1.1924,1.19113,1.19151,1075
2021-06-28T13:45:00Z,1.19153,1.19269,1.1913,1.19268,1067
2021-06-28T14:00:00Z,1.1926700000000001,1.19337,1.19239,1.19249,1427
2021-06-28T14:15:00Z,1.19249,1.19335,1.19246,1.19249,851
2021-06-28T14:30:00Z,1.19248,1.19303,1.19215,1.19285,888
2021-06-28T14:45:00Z,1.19286,1.194,1.19257,1.19264,1994
2021-06-28T15:00:00Z,1.19265,1.1938,1.19255,1.1932,1051
2021-06-28T15:15:00Z,1.19319,1.19346,1.19288,1.1932,630
2021-06-28T15:30:00Z,1.19319,1.19335,1.19287,1.19334,620
2021-06-28T15:45:00Z,1.19333,1.19371,1.19319,1.1937,535
2021-06-28T16:00:00Z,1.19371,1.19384,1.19311,1.1933,559
2021-06-28T16:15:00Z,1.1933,1.19337,1.19306,1.19312,338
2021-06-28T16:30:00Z,1.19313,1.19314,1.1921599999999999,1.1921599999999999,442
2021-06-28T16:45:00Z,1.1921599999999999,1.19252,1.19205,1.19229,329
2021-06-28T17:00:00Z,1.19228,1.19269,1.19226,1.19262,326
2021-06-28T17:15:00Z,1.19262,1.19272,1.19224,1.1923,314
2021-06-28T17:30:00Z,1.19229,1.1927,1.19227,1.19269,240
